name	id	cuisine	ingredients	type_of_dish1	recipes
Makchang	/m/0dr_02	Korean			
Balut	/m/03lcgp	Cambodian,Vietnamese,Filipino		Street food,Aphrodisiac,Snack food	
Bialy	/m/0447sh	Jewish cuisine,Polish	Yeast,Flour,Onion	Bread	
Matzo farfel granola	/m/0cp9ys				
Kongnamul	/m/0dpbg_	Korean			
Kaymak	/m/0c2hn_	Turkish			
Tom kha gai	/m/0249gb	Thai	Lemongrass,Chicken meat,Coconut milk,Galangal		
Pink Gin	/m/022jjz		Gin,Angostura bitters		
Tom yum	/m/04n3_8	Thai		Soup	
Marshmallow creme	/m/03n1tj				
Ox-tongue pastry	/m/03m76cx				
Milanesa	/m/045ct5	Mexican			
Dolma	/m/03kr5_	Armenian,Lebanese,Greek,Turkish			
Hash brown	/m/04shrv				
Kuchen	/m/04yfd1	German			
Bejgli	/m/04jb5kd	Hungarian			
Mousse	/m/051vk	French			
Kornigou	/m/047vph	French			
Sauce gribiche	/m/04153j4	French			
Gachas	/m/043mfh5	Spanish Cuisine			
Insalata Caprese	/m/06gs1f	Italian	Tomato,Basil,Olive oil,Mozzarella		
Boliche	/m/02z0vcq	Cuban	Chorizo		
Gata	/m/027542b	Armenian			
Nata de coco	/m/035x1l	Filipino			
Pie and mash	/m/02fv71	British Cuisine			
Pastina	/m/03cjnw5	Italian			
Dum Pukht	/m/03c672z	Indian			
Arrosticini	/m/02r6jrt	Italian			
Pelmeni	/m/03cs9b	Italian		Dumpling	
Cafreal	/m/026tr8y	Indian			
Satay bee hoon	/m/03clqbw	Singaporean cuisine			
Carbonara	/m/0273gv	Roman,Italian	Parmigiano Reggiano,Pancetta,Guanciale,Pecorino Romano,Pasta,Egg	Pasta dish	
Avre Bendi	/m/03c7620	Indian			
Peanut butter and jelly sandwich	/m/011xyw	American	Jam,Peanut butter	Breakfast	
Scrapple	/m/01r_dp				
Lemon meringue pie	/m/022lvh		Meringue	Pastry,Pie	
Raclette	/m/01245r	French			
Pisang goreng	/m/098dtj	Indonesian	Banana	Snack food,Dessert	Pisang Goreng
Cocadas	/m/0bbx1tk				
Longaniza	/m/03bxpdm	Filipino,Mexican,Spanish Cuisine			
Viennoiserie	/m/02rgczb				
Kousa Mahshi	/m/02rgjs1	Lebanese			
Polenta	/m/02q1tp	Italian			
Bayonne ham	/m/03c0tgr	French			
Espagnole sauce	/m/02px6	French	Roux		
Ricciarelli	/m/02wvn_6	Italian			
Rinderbraten	/m/0272hln	German			
Tzimmes	/m/045g3j	Jewish cuisine			
Yuvarlak	/m/026dx87	Turkish			
Giri choco	/m/02vy_6k	Japanese Cuisine			
Churchkhela	/m/027tly9	Turkish			
Muhammara	/m/02rj599	Turkish			
Matagh	/m/02754c_	Armenian			
Khao soi	/m/027mlyq	Thai			
Oxtail soup	/m/02qwbhf	Korean,Indonesian,British Cuisine,Chinese	Oxtail	Soup,Stew	
Bocadillo	/m/080b05k	Spanish Cuisine			
