name	id	nutrients	usda_id	energy	usda_equivalent
Ham	/m/03q2b	/m/07x7nkg,/m/07x7ngj,/m/07x7n9d,/m/07x7nj0,/m/07x7ncg,/m/07x7n8g,/m/07x7n88,/m/07x7ncv,/m/07x7n9z,/m/07x7nbb,/m/07x7njl,/m/07x7nld,/m/07x7n8n,/m/07x7n7g,/m/07x7nh2,/m/07x7nhv,/m/07x7ng8,/m/07x7n69,/m/07x7ndl,/m/07x7nf4,/m/07x7n9l,/m/07x7nd0,/m/07x7n77,/m/07x7nmb,/m/07x7nbj,/m/07x7nc2,/m/07x7nll,/m/07x7nbx,/m/07x7nc8,/m/07x7nfq,/m/07x7nls,/m/07x7nk6,/m/07x7n6p,/m/07x7ngq,/m/07x7nd6,/m/07x7njd,/m/07x7n82,/m/07x7n6w,/m/07x7nfx,/m/07x7nmj,/m/07x7ng2,/m/07x7nb4,/m/07x7ndd,/m/07x7n63,/m/07x7nfb,/m/07x7n5y,/m/07x7n9s,/m/07x7n71,/m/07x7n96,/m/07x7n7q,/m/07x7nm4,/m/07x7ngx,/m/07x7nh8,/m/07x7nkn,/m/07x7nfj,/m/07x7nds,/m/07x7njs,/m/07x7nbq,/m/07x7ncn,/m/07x7nj6,/m/07x7ndz,/m/07x7nlz,/m/07x7n6h,/m/07x7n90,/m/07x7nl0,/m/07x7nhg,/m/07x7n7x,/m/07x7n8v,/m/07x7nhn,/m/07x7nl6,/m/07x7nkv,/m/07x7nmq		490.0	10905
Eugenia carissoides	/m/04f4987	/m/07x65hp,/m/07x65t_,/m/07x6650,/m/07x65f3,/m/07x66kt,/m/07x65m5,/m/07x66db,/m/07x65_z,/m/07x66bn,/m/07x65nc,/m/07x65tf,/m/07x65_d,/m/07x669j,/m/07x65g7,/m/07x66g4,/m/07x66dz,/m/07x66jg,/m/07x65bw,/m/07x65gt,/m/07x65zv,/m/07x65cf,/m/07x65l1,/m/07x65ms,/m/07x65ph,/m/07x65qm,/m/07x65c_,/m/07x65yq,/m/07x66b2,/m/07x66h8,/m/07x6612,/m/07x65jc,/m/07x65s9,/m/07x65kh,/m/07x661n,/m/07x665l,/m/07x666q,/m/07x6678,/m/07x65wp,/m/07x664g,/m/07x663b,/m/07x66fj,/m/07x66gq,/m/07x66c6,/m/07x65sw,/m/07x6664,/m/07x65w3,/m/07x65vk,/m/07x65dk,/m/07x65lm,/m/07x65z8,/m/07x65fp,/m/07x65y4,/m/07x668z,/m/07x663x,/m/07x660j,/m/07x66k0,/m/07x66hx,/m/07x66cs,/m/07x65jy,/m/07x65ny,/m/07x668d,/m/07x65x8,/m/07x667v,/m/07x65q1,/m/07x6626,/m/07x662s,/m/07x65rr,/m/07x65r5		263.0	09070
Life	/m/04lxjf	/m/04zs1t2,/m/04zs1qt,/m/04zs1ny,/m/07x5w5t,/m/07x5w57,/m/04zs1rc,/m/04zs1pp,/m/04zs1qm,/m/04zs1rr,/m/04zs1ry,/m/04zs1m7,/m/04zs1vd,/m/04zs1mm,/m/07x5w4p,/m/04zs1l3,/m/04zs1pw,/m/04zs1lp,/m/04zs1mt,/m/04zs1sq,/m/07x5w4w,/m/07x5w5m,/m/07x5w5_,/m/04zs1nk,/m/07x5w70,/m/04zs1q1,/m/04zs1tv,/m/04zs1nc,/m/04zs1qf,/m/04zs1lw,/m/04zs1mf,/m/04zs1q7,/m/04zs1v0,/m/04zs1nr,/m/04zs1lh,/m/04zs1sj,/m/04zs1kk,/m/04zs1m1,/m/07x5w5f,/m/04zs1r5,/m/04zs1sx,/m/04zs1v6,/m/04zs1sb,/m/07x5w65,/m/04zs1ph,/m/04zs1p9,/m/04zs1l9,/m/04zs1tg,/m/04zs1n5,/m/04zs1ky,/m/04zs1tn,/m/04zs1kr,/m/07x5w51,/m/04zs1q_,/m/04zs1s3,/m/04zs1p3,/m/04zs1rk,/m/04zs1t8,/m/04zs1m_		1563.0	
Fettuccine	/m/03hvr6	/m/07xdx_q,/m/07xdr5n,/m/07xdw99,/m/07xdtdq,/m/07xdx6m,/m/07xd_2w,/m/07xdtkl,/m/07xdwr_,/m/07xd_w7,/m/07xdrbq,/m/07xf003,/m/07xf0t8,/m/07xdvcs,/m/07xdvvp,/m/07xf0nd,/m/07xf09w,/m/07xdsg8,/m/07xdwxw,/m/07xdxch,/m/07xdwm3,/m/07xdt2z,/m/07xdss0,/m/07xd_kh,/m/07xdv0y,/m/07xdtq_,/m/07xdv5t,/m/07xdzl0,/m/07xdzs8,/m/07xdx1r,/m/07xdr_n,/m/07xdz2w,/m/07xdymj,/m/07xdqwc,/m/07xdygb,/m/07xds4j,/m/07xd_dm,/m/07xdy9g,/m/07xdz81,/m/07xdw4f,/m/07xf0hj,/m/07xd_7r,/m/07xdr0s,/m/07xds9d,/m/07xdrhl,/m/07xd_qc,/m/07xdrtn,/m/07xdsy6,/m/07xdzy4,/m/07xdsm4,/m/07xdt7v,/m/07xdwg7,/m/07xdqkk,/m/07xf04_,/m/07xdysd,/m/07xdxv9,/m/07xdtww,/m/07xdyyt,/m/07xdzdy,/m/07xdxjk,/m/07xdvjv,/m/07xdvpt,/m/07xdy4l,/m/07xdqqg,/m/07xdrns,/m/07xdxpf,/m/07xdv_k,/m/07xdqdc		1553.0	20120
Clove	/m/0jbr7	/m/07x504v,/m/07x500q,/m/07x503b,/m/07x502z,/m/07x4__6,/m/07x503q,/m/07x5056,/m/07x505d,/m/07x4_xy,/m/07x4_zn,/m/07x4__s,/m/07x4_zg,/m/07x4__l,/m/07x502l,/m/07x5004,/m/07x5034,/m/07x4_yx,/m/07x503x,/m/07x4_xr,/m/07x4_zv,/m/07x501v,/m/07x4__0,/m/07x4_z8,/m/07x5020,/m/07x4__z,/m/07x4_y9,/m/07x504n,/m/07x5042,/m/07x4_yj,/m/07x4_w_,/m/07x504g,/m/07x5012,/m/07x4_yq,/m/07x503j,/m/07x5026,/m/07x500b,/m/07x5048,/m/07x5050,/m/07x4_x5,/m/07x5018,/m/07x4_xk,/m/07x501n,/m/07x4_xc,/m/07x502d,/m/07x4__d,/m/07x4_z2,/m/07x501g,/m/07x500j,/m/07x500x,/m/07x4_y3,/m/07x502s		1350.0	02011
Lemon pepper	/m/02qztwn	/m/07x54k2,/m/07x54_9,/m/07x556t,/m/07x55hm,/m/07x55t0,/m/07x55lf,/m/07x5531,/m/07x5523,/m/07x559m,/m/07x54h6,/m/07x55bk,/m/07x54xh,/m/07x5507,/m/07x54j4,/m/07x553_,/m/07x554y,/m/07x55q6,/m/07x55df,/m/07x54yf,/m/07x55nb,/m/07x557r,/m/07x555w,/m/07x55fr,/m/07x55r4,/m/07x54zc,/m/07x54n_,/m/07x54tp,/m/07x55kh,/m/07x54rt,/m/07x54qw,/m/07x55s2,/m/07x54vm,/m/07x54sr,/m/07x54g8,/m/07x55tz,/m/07x54m3,/m/07x54l5,/m/07x5515,/m/07x54n1,/m/07x55jk,/m/07x558p,/m/07x55ch,/m/07x55p8,/m/07x54wk,/m/07x55md,/m/07x54py,/m/07x54fb,/m/07x55gp		1067.0	02030
Rice flour	/m/027r06p	/m/07xddsr,/m/07xddwz,/m/07xddz0,/m/07xdd_x,/m/07xdd_4,/m/07xddy8,/m/07xddzz,/m/07xddxj,/m/07xddvg,/m/07xdf1z,/m/07xddw6,/m/07xdf16,/m/07xdf1d,/m/07xdf02,/m/07xddtb,/m/07xddsc,/m/07xdf0g,/m/07xdd_j,/m/07xddxq,/m/07xddtq,/m/07xddzs,/m/07xddyv,/m/07xddsk,/m/07xddv2,/m/07xddw0,/m/07xdf0v,/m/07xddxx,/m/07xdf0n,/m/07xddtx,/m/07xddyn,/m/07xddt4,/m/07xddws,/m/07xdf1l,/m/07xddwd,/m/07xddzl,/m/07xddsy,/m/07xddx4,/m/07xddzd,/m/07xddwl,/m/07xddy2,/m/07xddz6,/m/07xddtj,/m/07xdf24,/m/07xddyg,/m/07xdf1s,/m/07xdf08,/m/07xddvv,/m/07xdd_q,/m/07xddxb,/m/07xdd_b,/m/07xdds5,/m/07xdf10,/m/07xddvn,/m/07xddv8		1531.0	20061
Burgundy wine	/m/0358nz	/m/07xb4lx,/m/07xb4mg,/m/07xb4m8,/m/07xb4mn,/m/07xb4m2		360.0	14152
Egg yolk	/m/02dmz4	/m/07x4vml,/m/07x4vm6,/m/07x4vgw,/m/07x4vhn,/m/07x4vyv,/m/07x4vfk,/m/07x4vv2,/m/07x4vl2,/m/07x4vs6,/m/07x4vgp,/m/07x4vg3,/m/07x4vwd,/m/07x4vnk,/m/07x4vtj,/m/07x4vhv,/m/07x4vyg,/m/07x4vvn,/m/07x4vtb,/m/07x4vw0,/m/07x4vxb,/m/07x4vkq,/m/07x4vkj,/m/07x4vpd,/m/07x4vkx,/m/07x4vfc,/m/07x4vqx,/m/07x4vwl,/m/07x4vps,/m/07x4vz6,/m/07x4vh8,/m/07x4vpz,/m/07x4vr2,/m/07x4vv8,/m/07x4vlg,/m/07x4vy2,/m/07x4vk4,/m/07x4vvv,/m/07x4vz0,/m/07x4vmz,/m/07x4vq4,/m/07x4vqj,/m/07x4vjl,/m/07x4vsl,/m/07x4vw6,/m/07x4vh1,/m/07x4vgh,/m/07x4vj6,/m/07x4vlv,/m/07x4vg9,/m/07x4vws,/m/07x4vvg,/m/07x4vjd,/m/07x4vfy,/m/07x4vxq,/m/07x4vfr,/m/07x4vrn,/m/07x4vln,/m/07x4vkb,/m/07x4vy8,/m/07x4vmd,/m/07x4vrg,/m/07x4vs0,/m/07x4vqq,/m/07x4vhg,/m/07x4vsz,/m/07x4vxx,/m/07x4vj0,/m/07x4vjs,/m/07x4vjz,/m/07x4vyn,/m/07x4vp0,/m/07x4vn4,/m/07x4vss,/m/07x4vms,/m/07x4vl8,/m/07x4vr8,/m/07x4vsd,/m/07x4vx4,/m/07x4vxj,/m/07x4vqb,/m/07x4vp6,/m/07x4vrv,/m/07x4vpl,/m/07x4vnr,/m/07x4vtx,/m/07x4vtq,/m/07x4vwz,/m/07x4vt4,/m/07x4vm0		1325.0	01125
Apple Schnapps	/m/05n6k01	/m/07xbhjn,/m/07xbcfn,/m/07xbfx3,/m/07xbgv4,/m/07xbh1n,/m/07xbjgz,/m/07xbbyd,/m/07xbd4y,/m/07xbf37,/m/07xb9_5,/m/07xb9qv,/m/07xbcp4,/m/07xbj7g,/m/07xbc4x,/m/07xbdwr,/m/07xbh_z,/m/07xbdn7,/m/07xbg3m,/m/07xbfl7,/m/07xbh94,/m/07xbcxn,/m/07xbb6p,/m/07xbbg6,/m/07xbgc3,/m/07xbbpq,/m/07xbglm,/m/07xbfbr,/m/07xbddr,/m/07xbhs4		1289.0	14534
Pecorino Romano	/m/068kk	/m/07x4q57,/m/07x4pxl,/m/07x4q4w,/m/07x4q3k,/m/07x4q27,/m/07x4q43,/m/07x4q0k,/m/07x4pxd,/m/07x4px6,/m/07x4q49,/m/07x4q8r,/m/07x4pzh,/m/07x4p_t,/m/07x4q05,/m/07x4p__,/m/07x4pyr,/m/07x4q7f,/m/07x4q19,/m/07x4pyc,/m/07x4q6w,/m/07x4q2_,/m/07x4pz3,/m/07x4pzp,/m/07x4q7m,/m/07x4q3r,/m/07x4q71,/m/07x4q0r,/m/07x4p_m,/m/07x4q6h,/m/07x4p_7,/m/07x4q77,/m/07x4q8k,/m/07x4q5f,/m/07x4p_1,/m/07x4q1w,/m/07x4q2t,/m/07x4q3c,/m/07x4q6p,/m/07x4q13,/m/07x4q21,/m/07x4pyk,/m/07x4q35,/m/07x4q1h,/m/07x4p_f,/m/07x4pz9,/m/07x4q8c,/m/07x4pzw,/m/07x4pxz,/m/07x4q0c,/m/07x4q63,/m/07x4q0y,/m/07x4q2m,/m/07x4q4h,/m/07x4q1p,/m/07x4q51,/m/07x4pyy,/m/07x4q5y,/m/07x4q7t,/m/07x4q3y,/m/07x4q7_,/m/07x4q2f,/m/07x4py5,/m/07x4q69,/m/07x4pxs,/m/07x4q4p,/m/07x4q85		1618.0	01038
Aprium	/m/01q3v6	/m/07x61w3,/m/07x61dh,/m/07x61bf,/m/07x61pw,/m/07x61y2,/m/07x61d3,/m/07x61nr,/m/07x618k,/m/07x61mm,/m/07x61hw,/m/07x61m_,/m/07x61f7,/m/07x61jm,/m/07x61hh,/m/07x61dw,/m/07x6202,/m/07x61lh,/m/07x61vc,/m/07x61p3,/m/07x61rc,/m/07x61zz,/m/07x61s3,/m/07x61l3,/m/07x61kc,/m/07x61nc,/m/07x61gr,/m/07x6199,/m/07x61fm,/m/07x61yg,/m/07x61_b,/m/07x61q7,/m/07x61cp,/m/07x61c5,/m/07x61bt,/m/07x61j7,/m/07x61tm,/m/07x61f_,/m/07x61q_,/m/07x61rr,/m/07x61sw,/m/07x61yv,/m/07x618y,/m/07x61qm,/m/07x61lw,/m/07x61zl,/m/07x61kr,/m/07x61h3,/m/07x61b1,/m/07x619p,/m/07x61_q,/m/07x61j_,/m/07x620v,/m/07x61ww,/m/07x61wh,/m/07x61ph,/m/07x61t7,/m/07x61gc,/m/07x61m7,/m/07x61x7,/m/07x61vr,/m/07x620g,/m/07x61sh,/m/07x61xm,/m/07x61z6,/m/07x61t_		201.0	09021
Jujube	/m/01rn8t	/m/07x6fg5,/m/07x6fm5,/m/07x6fft,/m/07x6fkm,/m/07x6flt,/m/07x6fgk,/m/07x6fmk,/m/07x6fj3,/m/07x6fn9,/m/07x6fgy,/m/07x6fjw,/m/07x6flc,/m/07x6fh9,/m/07x6fpf,/m/07x6fk_,/m/07x6fhr,/m/07x6fp1,/m/07x6fnp,/m/07x6fjh,/m/07x6fk7,/m/07x6fmy		331.0	09146
Iceburg Lettuce	/m/0446c0l	/m/07x8dgd,/m/07x8dkl,/m/07x8dc0,/m/07x8dhb,/m/07x8dfv,/m/07x8djg,/m/07x8d7n,/m/07x8d8s,/m/07x8dk0,/m/07x8d69,/m/07x8dcd,/m/07x8d8d,/m/07x8d72,/m/07x8ddj,/m/07x8dfn,/m/07x8d5c,/m/07x8dc6,/m/07x8dj8,/m/07x8dj2,/m/07x8d6h,/m/07x8djv,/m/07x8d63,/m/07x8dfg,/m/07x8dhj,/m/07x8dh4,/m/07x8d5r,/m/07x8dcl,/m/07x8dgl,/m/07x8dcz,/m/07x8d55,/m/07x8d86,/m/07x8dgz,/m/07x8ddb,/m/07x8dg6,/m/07x8d9j,/m/07x8dg0,/m/07x8dkd,/m/07x8dk6,/m/07x8dbg,/m/07x8df8,/m/07x8d7v,/m/07x8ddq,/m/07x8d6q,/m/07x8dhq,/m/07x8dbn,/m/07x8d7g,/m/07x8d94,/m/07x8db2,/m/07x8dhx,/m/07x8dcs,/m/07x8djn,/m/07x8d8l,/m/07x8d78,/m/07x8dbv,/m/07x8df2,/m/07x8ddx,/m/07x8d6x,/m/07x8dd4,/m/07x8db8,/m/07x8d9b,/m/07x8d80,/m/07x8d8z,/m/07x8dgs,/m/07x8d9q,/m/07x8d9x,/m/07x8d5y,/m/07x8d5k		58.0	11252
Cream soda	/m/027rx_	/m/07xb40v,/m/07xb42k,/m/07xb425,/m/07xb42r,/m/07xb42c,/m/07xb40g,/m/07xb411,/m/07xb40n,/m/07xb417,/m/07xb41_,/m/07xb41t,/m/07xb41m,/m/07xb41f		213.0	14130
Ube	/m/02f98p	/m/07x93cd,/m/07x93gt,/m/07x930m,/m/07x93f9,/m/07x931c,/m/07x93d4,/m/07x9323,/m/07x934r,/m/07x9337,/m/07x92y_,/m/07x92t0,/m/07x934c,/m/07x92zc,/m/07x92wq,/m/07x92ts,/m/07x939j,/m/07x93dj,/m/07x933_,/m/07x93l5,/m/07x939x,/m/07x933m,/m/07x92vl,/m/07x92vz,/m/07x93c0,/m/07x935h,/m/07x93hk,/m/07x93k1,/m/07x92wb,/m/07x930_,/m/07x92v4,/m/07x93lk,/m/07x92sn,/m/07x93kt,/m/07x93b8,/m/07x932w,/m/07x93fp,/m/07x93gf,/m/07x93dx,/m/07x93kf,/m/07x93g1,/m/07x92_h,/m/07x92y6,/m/07x93cs,/m/07x92_w,/m/07x92xv,/m/07x92x2,/m/07x93hy,/m/07x92zr,/m/07x93jp,/m/07x93j9,/m/07x92_3,/m/07x93bn,/m/07x931r,/m/07x92td,/m/07x92xg,/m/07x93h5,/m/07x932h,/m/07x9394,/m/07x9307		494.0	11601
Cocoa solids	/m/02vxqxj				
Coffee	/m/02vqfm	/m/07xb5ct,/m/07xb5c7,/m/07xb5j9,/m/07xb5dr,/m/07xb5bh,/m/07xb5h5,/m/07xb5d5,/m/07xb5hy,/m/07xb5dk,/m/07xb58s,/m/07xb5f9,/m/07xb5gm,/m/07xb5c1,/m/07xb5gt,/m/07xb5hc,/m/07xb5bw,/m/07xb5bp,/m/07xb59r,/m/07xb5dc,/m/07xb5fp,/m/07xb5b9,/m/07xb59c,/m/07xb58z,/m/07xb5j3,/m/07xb5g7,/m/07xb5c_,/m/07xb5hr,/m/07xb5cf,/m/07xb5jp,/m/07xb5k1,/m/07xb5jh,/m/07xb5b3,/m/07xb5dy,/m/07xb5jw,/m/07xb594,/m/07xb5g1,/m/07xb5cm,/m/07xb5g_,/m/07xb5gf,/m/07xb5f3,/m/07xb5k7,/m/07xb59k,/m/07xb5fh,/m/07xb5hk,/m/07xb5fw,/m/07xb58d,/m/07xb5kf,/m/07xb58l,/m/07xb59y		2.0	14209
Amaretto	/m/02mxl6	/m/07xbb39,/m/07xbblb,/m/07xbg7r,/m/07xbhns,/m/07xbfsf,/m/07xbj42,/m/07xbc1j,/m/07xbcks,/m/07xbhx8,/m/07xbgz8,/m/07xbgh7,/m/07xbd0s,/m/07xbct8,/m/07xbg07,/m/07xbjcl,/m/07xbdjw,/m/07xbhf8,/m/07xbbbv,/m/07xbh5s,/m/07xb9mg,/m/07xbd91,/m/07xbfgw,/m/07xbbv0,/m/07xbf7c,/m/07xb9vz,/m/07xbd_w,/m/07xbcb8,/m/07xbgqr,/m/07xbdsc		1289.0	14534
Curry Tree	/m/03h5wg	/m/07x4y63,/m/07x4y33,/m/07x4y6h,/m/07x4y0c,/m/07x4xzn,/m/07x4xw8,/m/07x4xvx,/m/07x4y4m,/m/07x4x__,/m/07x4y14,/m/07x4xv2,/m/07x4xtq,/m/07x4x_d,/m/07x4y1m,/m/07x4y47,/m/07x4y6w,/m/07x4x_0,/m/07x4xvj,/m/07x4xx0,/m/07x4xxs,/m/07x4xxd,/m/07x4y77,/m/07x4y5c,/m/07x4xsz,/m/07x4y0r,/m/07x4y4_,/m/07x4y2r,/m/07x4y5r,/m/07x4xyx,/m/07x4xtb,/m/07x4xy4,/m/07x4xwn,/m/07x4xsl,/m/07x4y1_,/m/07x4y3h,/m/07x4xz8,/m/07x4xyj,/m/07x4y3w,/m/07x4y2c		1312.0	02004
Foglie d'ulivo	/m/03qjp5c	/m/07xdk0q,/m/07xdjzz,/m/07xdk5d,/m/07xdj_4,/m/07xdjx5,/m/07xdjxc,/m/07xdk18,/m/07xdk3x,/m/07xdjyd,/m/07xdjwm,/m/07xdk0x,/m/07xdk20,/m/07xdk5r,/m/07xdk50,/m/07xdjz6,/m/07xdk3b,/m/07xdjwt,/m/07xdk04,/m/07xdjys,/m/07xdj_d,/m/07xdjxl,/m/07xdk3j,/m/07xdjyl,/m/07xdjy6,/m/07xdk2z,/m/07xdk68,/m/07xdjxs,/m/07xdk6v,/m/07xdk34,/m/07xdk0b,/m/07xdk4g,/m/07xdk1n,/m/07xdk1v,/m/07xdj_s,/m/07xdk0j,/m/07xdk42,/m/07xdk6g,/m/07xdk12,/m/07xdj_z,/m/07xdjy0,/m/07xdjw_,/m/07xdj_l,/m/07xdjyz,/m/07xdk56,/m/07xdk26,/m/07xdk6n,/m/07xdk48,/m/07xdk4v,/m/07xdk2s,/m/07xdk2l,/m/07xdk3q,/m/07xdk2d,/m/07xdjzl,/m/07xdk4n,/m/07xdk1g,/m/07xdjzd,/m/07xdk62		1209.0	20095
Cod	/m/0bdcn	/m/07xblkb,/m/07xblqb,/m/07xblcj,/m/07xblcx,/m/07xblf6,/m/07xblhv,/m/07xblg4,/m/07xblgb,/m/07xblpd,/m/07xblcq,/m/07xblnn,/m/07xblkv,/m/07xblby,/m/07xblf0,/m/07xblmj,/m/07xblls,/m/07xbldv,/m/07xblmq,/m/07xblm4,/m/07xblpz,/m/07xblpl,/m/07xblh2,/m/07xblps,/m/07xbln2,/m/07xbllz,/m/07xblqq,/m/07xblj6,/m/07xblnv,/m/07xblld,/m/07xblj0,/m/07xblmb,/m/07xblhg,/m/07xblfl,/m/07xblhn,/m/07xblcb,/m/07xblp0,/m/07xbll6,/m/07xblq4,/m/07xblll,/m/07xblng,/m/07xblgj,/m/07xblp6,/m/07xbldn,/m/07xblc3,/m/07xbll0,/m/07xblfd,/m/07xblbk,/m/07xblqj,/m/07xblfs,/m/07xblr2,/m/07xblgq,/m/07xblh8,/m/07xbljs,/m/07xbln8,/m/07xblk4,/m/07xblqx,/m/07xbljl,/m/07xbljz,/m/07xblbr,/m/07xblr8,/m/07xbld2,/m/07xbldg,/m/07xbld8,/m/07xbljd,/m/07xblfz,/m/07xblmx,/m/07xblgx		343.0	15015
Orange	/m/0cyhj_	/m/07x6t8w,/m/07x6t1s,/m/07x6tbx,/m/07x6sxq,/m/07x6t16,/m/07x6tgv,/m/07x6t0n,/m/07x6tl6,/m/07x6t40,/m/07x6t9_,/m/07x6t9f,/m/07x6t5q,/m/07x6tcg,/m/07x6svg,/m/07x6t2x,/m/07x6thz,/m/07x6t54,/m/07x6sr1,/m/07x6t89,/m/07x6tfq,/m/07x6sx4,/m/07x6sqh,/m/07x6szd,/m/07x6tg8,/m/07x6sn7,/m/07x6skx,/m/07x6tkn,/m/07x6szz,/m/07x6stx,/m/07x6tjj,/m/07x6slg,/m/07x6thd,/m/07x6spc,/m/07x6tk2,/m/07x6swl,/m/07x6t7f,/m/07x6t3g,/m/07x6ssr,/m/07x6skb,/m/07x6syv,/m/07x6sm0,/m/07x6sy8,/m/07x6t69,/m/07x6srm,/m/07x6t6w,/m/07x6s_j,/m/07x6spy,/m/07x6snt,/m/07x6t02,/m/07x6td0,/m/07x6sw0,/m/07x6tdl,/m/07x6smp,/m/07x6ss5,/m/07x6sjs,/m/07x6tf4,/m/07x6t2b,/m/07x6t4l,/m/07x6stb		197.0	09200
Shipova	/m/08dl28	/m/07x70ls,/m/07x70zh,/m/07x711h,/m/07x712m,/m/07x70w3,/m/07x717w,/m/07x70mk,/m/07x716r,/m/07x70sh,/m/07x70q7,/m/07x70yr,/m/07x70m5,/m/07x70k8,/m/07x715_,/m/07x70s3,/m/07x70z3,/m/07x70wh,/m/07x718_,/m/07x70qm,/m/07x70_7,/m/07x719c,/m/07x712_,/m/07x70t7,/m/07x713r,/m/07x70vr,/m/07x70xm,/m/07x70kn,/m/07x70_m,/m/07x719r,/m/07x713c,/m/07x70rc,/m/07x70zw,/m/07x714w,/m/07x70tm,/m/07x70t_,/m/07x70yc,/m/07x70pw,/m/07x70x_,/m/07x70__,/m/07x70ph,/m/07x70sw,/m/07x717h,/m/07x70l0,/m/07x70nc,/m/07x7113,/m/07x70q_,/m/07x7127,/m/07x710c,/m/07x714h,/m/07x7173,/m/07x7187,/m/07x7157,/m/07x70vc,/m/07x71b3,/m/07x711w,/m/07x718m,/m/07x70ld,/m/07x70p3,/m/07x70rr,/m/07x70my,/m/07x70jj,/m/07x70x7,/m/07x70ww,/m/07x70nr,/m/07x715m,/m/07x7143,/m/07x716c,/m/07x710r,/m/07x70jx		242.0	09252
