name	id	recipe	quantity	unit	ingredient	notes
	/m/07f27zr	Baked Risotto with Asparagus, Spinach, and Sausage	1.0	Cup	Parmigiano Reggiano	freshly and finely grated
	/m/09rhz4z	Braised Shortribs	4.0		Bay leaf	
	/m/05yr17l	Jeff's Oatmeal-Raisin Cookies	2.0		Egg	
	/m/09rhz4j	Braised Shortribs	0.5	Pound	Bacon	
	/m/07f10r6	Baked Risotto with Asparagus, Spinach, and Sausage	1.0	Tablespoon	Extra virgin olive oil	
	/m/07f10sr	Baked Risotto with Asparagus, Spinach, and Sausage	2.0	Cup	Arborio rice	
	/m/0gwsk8r	Mom's Gingerbread Re-invented	2.0	Cup	Whole wheat flour	
	/m/09rhz5t	Braised Shortribs	3.0	Cup	Leek	1/2 inch slides, white and light green
	/m/09kl4z5	Pasta with Simple Tomato Sauce	1.0	Tablespoon	Tomato	
	/m/09rhz76	Braised Shortribs	1.0		Garlic	head
	/m/0hnhc91	Orbis Tertius			Egg	
	/m/07dk8sd	Roux	0.25	Cup	Butter	Or substitute Cooking Oil or Fat
	/m/07c0208	Spicy Orange and Ginger Chicken	2.0	Tablespoon	Ginger	peeled and minced
	/m/083q1vb	Foie Gras Butter	0.75	Pound	Butter	Sweet, unsalted butter
	/m/07vlk_w	Braised Brussels Sprouts with Bacon	0.75	Cup	Stock	Vegetable or Chicken Stock
	/m/09rhyz6	Braised Shortribs	1.5	Cup	Carrot	peeled, 1/2 inch slice
	/m/08n0pb1	Brine	1.0	Cup	Kosher Salt	
	/m/09rhz47	Braised Shortribs	2.0	Pound	Button mushroom	e.g., brown mushrooms
	/m/09vw60h	Spicy Cauliflower with Anchovy	3.0	Tablespoon	Shallot	minced
	/m/07vll03	Braised Brussels Sprouts with Bacon	1.0	Teaspoon	Kosher Salt	
	/m/0gwrpwl	Alex's Easy Ice Cream	0.5	Teaspoon	Vanilla	Add this and other flavors as you like.
	/m/09vw5n2	Spicy Cauliflower with Anchovy	1.0	Teaspoon	Crushed red pepper	
	/m/09vw597	Spicy Cauliflower with Anchovy	1.0	Head	Cauliflower	largish head
	/m/09kl4z1	Pasta with Simple Tomato Sauce	800.0	Gram	Diced tomatoes	
	/m/0gwrpn7	Alex's Scratch Brownies	0.25	Teaspoon	Table salt	
	/m/07nh_8y	Broccoli Raab Pasta	1.0	Teaspoon	Kosher Salt	
	/m/07f10rf	Baked Risotto with Asparagus, Spinach, and Sausage	12.0	Ounce	Spinach	2 bags of the fresh baby organic spinach from TJs
	/m/09vw60r	Spicy Cauliflower with Anchovy	2.0	clove	Garlic	sliced thinly
	/m/09rhz7f	Braised Shortribs			Black peppercorn	
	/m/05yr18g	Jeff's Oatmeal-Raisin Cookies	1.5	Cup	All-purpose Flour	
	/m/09jywv_	Chocolate Covered Peanut Butter Balls	1.25	Pound	Peanut	lightly salted and roasted, finely chopped (use a nut chopper)
	/m/094wymp	Duck Confit	2.0	Tablespoon	Thyme	chopped
	/m/09jywvc	Chocolate Covered Peanut Butter Balls	1.5	Cup	Granola	crushed, ideally homemade
	/m/0cnd4mx	Arroz con pollo	3.0	Cup	Stock	chicken or vegetable stock
	/m/05yr18y	Jeff's Oatmeal-Raisin Cookies	1.0	Cup	Unsalted Butter	Or the fat of your choice. Room temperature.
	/m/0gwrpwv	Alex's Easy Ice Cream	30.0	mL	Sugar	
	/m/09rgm6_	Red Wine Reduction	2.0		Bay leaf	
	/m/07c0223	Spicy Orange and Ginger Chicken	2.0	Tablespoon	Cornstarch	
	/m/0777xvk	Country Sourdough Bread	27.0	Ounce	Water	about 82 degrees, for room temp of 65 degrees
	/m/07m519_	Cajun Roux			Flour	Equal Part to Oil depending on quantity needed
	/m/09jywv3	Chocolate Covered Peanut Butter Balls	2.0	Cup	Powdered sugar	sifted
	/m/094wyn_	Duck Confit	1.0	Teaspoon	Black peppercorn	
	/m/07ntg91	Chocolate Chip Cookies	3.0		Egg	large
	/m/07dkz0h	Thad's Gumbo Recipe	1.0	Pound		Preferably a Pork and Beef blend with spices
	/m/07c0210	Spicy Orange and Ginger Chicken	2.0	Tablespoon	Black bean and garlic	Paste, in a jar, from an Asian Market (optional)
	/m/0cnd4mn	Arroz con pollo	0.5	Cup	White Wine	dry
	/m/05yr173	Jeff's Oatmeal-Raisin Cookies	1.0	Teaspoon	Vanilla extract	
	/m/07f10sz	Baked Risotto with Asparagus, Spinach, and Sausage	1.0		Yellow onion	
	/m/07c020j	Spicy Orange and Ginger Chicken	1.0	Tablespoon	Sesame oil	
	/m/0dnlthm	Emeril Lagasse Chicken Marsala	0.75	Cup	Marsala wine	http://www.foodnetwork.com/recipes/emeril-lagasse/chicken-marsala-recipe/index.html
	/m/07c01_h	Spicy Orange and Ginger Chicken	1.5	Pound	Chicken meat	Boneless chicken thighs or breast meat, cut into 1-inch chunks
	/m/07nj78n	Broccoli Raab Pasta	2.0	Tablespoon	Kosher Salt	to put in boiling water
	/m/07ntg56	Chocolate Chip Cookies	1.5	Teaspoon	Kosher Salt	
	/m/09kl4yy	Pasta with Simple Tomato Sauce	2.0	clove	Garlic	crushed
	/m/05yr16p	Jeff's Oatmeal-Raisin Cookies	1.0	Teaspoon	Table salt	
	/m/07vll0b	Braised Brussels Sprouts with Bacon	2.0	Pound	Brussels sprout	
	/m/08sbw6v	Quick Greek style lamb			Oregano	
	/m/0cnd4jx	Arroz con pollo	3.0	Cup	Basmati	brown
	/m/0gwttzd	Mom's Gingerbread Re-invented	1.0	Teaspoon	Sodium bicarbonate	
	/m/09ds49y	Apple Blackberry Sponge Pudding	40.0	Milliliter	Water	
	/m/09rgm7m	Red Wine Reduction	3.0		Thyme	sprigs
	/m/094wyl2	Duck Confit	0.5	Cup	Kosher Salt	
	/m/05yr187	Jeff's Oatmeal-Raisin Cookies	1.0	Teaspoon	Sodium bicarbonate	
	/m/08n153g	Roast Chicken	0.5	Bunch	Thyme	
	/m/07ntg8l	Chocolate Chip Cookies	1.5	Teaspoon	Vanilla extract	
	/m/07ntg70	Chocolate Chip Cookies	1.0	Cup	Sugar	white, granulated
	/m/07f10tg	Baked Risotto with Asparagus, Spinach, and Sausage	1.0	Teaspoon	Kosher Salt	
	/m/05yr16x	Jeff's Oatmeal-Raisin Cookies	2.0	Cup	Rolled oats	
	/m/05yvr6d	Orbis Tertius	0.5		Avocado	
	/m/09kl4z9	Pasta with Simple Tomato Sauce			Table salt	
	/m/09rhyyq	Braised Shortribs	5.5	Pound	Short ribs	deboned, silver skin removed, cut into 2 inch pieces
	/m/0cnd4sz	Arroz con pollo	10.0		Chicken meat	drumsticks, or equivalent
	/m/0gwsk73	Mom's Gingerbread Re-invented	0.25	Cup	Cooking oil	or butter
	/m/0b4cwj9	Butternut Squash Risotto			Black peppercorn	freshly ground
